model_name,instrument_type,entry_date,exit_date,entry_premium,exit_premium,multiplier,dollar_pnl,exit_reason,strike,dte,predicted_regime,brace_for_impact_score,leap_exposure_pct,overwrite_action,target_premium_mid,vix,vvix,geometry_stress_score,path_stress_score
hmm_v3_1_meta_blend,SHORT_CALL,2026-04-23,2026-04-24,1.5822177265321784,0.0,100,158.22177265321784,expiration,716.0,1.0,STABLE_LOW_VOL_TREND,0.092825,1.0,conservative,1.2,19.309999465942383,98.7300033569336,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-04-24,2026-04-27,1.548019423774548,3.7227465195173295,100,-217.47270957427816,underlying_touch,713.0,1.0,MID_VOL_CHOP,0.255188,1.0,conservative,1.2,18.709999084472656,98.56999969482422,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-04-27,2026-04-28,1.608676310070848,0.0,100,160.8676310070848,expiration,718.0,1.0,STABLE_LOW_VOL_TREND,0.083871,1.0,conservative,1.2,18.020000457763672,97.18000030517578,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-04-28,2026-04-29,1.6547262922090908,0.0,100,165.47262922090908,expiration,719.0,1.0,MID_VOL_CHOP,0.197026,1.0,conservative,1.2,17.829999923706055,93.86000061035156,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-04-29,2026-04-30,1.6482513986655931,0.0,100,164.8251398665593,expiration,716.0,1.0,MID_VOL_CHOP,0.374289,0.75,normal,1.35,18.809999465942383,91.02999877929688,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-04-30,2026-05-01,1.6199612517618789,5.232478138436022,100,-361.2516886674143,underlying_touch,715.0,1.0,MID_VOL_CHOP,0.194726,1.0,conservative,1.2,16.889999389648438,96.0199966430664,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-01,2026-05-04,1.382297792546865,0.0,100,138.2297792546865,expiration,723.0,1.0,MID_VOL_CHOP,0.213447,1.0,conservative,1.2,16.989999771118164,93.69999694824219,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-04,2026-05-05,1.59061229792826,0.0,100,159.061229792826,expiration,725.0,1.0,MID_VOL_CHOP,0.244654,1.0,conservative,1.2,18.290000915527344,95.16999816894531,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2026-05-05,2026-05-06,1.544259154763438,4.122792998242858,100,-257.853384347942,underlying_touch,722.0,1.0,MID_VOL_CHOP,0.264437,1.0,conservative,1.2,17.3799991607666,98.29000091552734,0.0,0.0
hmm_v3_1_meta_blend,LEAP,2026-03-02,2026-05-07,100.0,127.49522018432617,100,2749.522018432617,leap_profit_exit,,,,,,,,,,,
