model_name,entry_date,exit_date,entry_spy,exit_spy,dte,holding_days,strike,entry_premium,exit_option_value,option_pnl,leap_pnl_during_trade,total_trade_pnl,exit_reason,predicted_regime,brace_for_impact_score,leap_exposure_pct,overwrite_action,target_premium_mid,vix,vvix,geometry_stress_score,path_stress_score
heuristic_policy,2026-04-01,2026-04-02,631.969970703125,650.3400268554688,1,2,637.0,2.0010814961564733,13.755191209528107,-11.754109713371633,1033.315658569336,1021.5615488559642,underlying_touch,MID_VOL_CHOP,0.45,0.75,normal,1.65,25.25,127.83999633789062,0.0,0.0
heuristic_policy,2026-04-03,2026-04-06,655.239990234375,655.8300170898438,1,4,660.0,2.013287736291261,0.0,2.013287736291261,33.18901062011719,35.20229835640845,expiration,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.65,23.8700008392334,114.83000183105469,0.0,0.0
heuristic_policy,2026-04-07,2026-04-08,658.9299926757812,659.219970703125,1,2,664.0,2.2190673608261022,0.0,2.2190673608261022,16.311264038085938,18.53033139891204,expiration,HIGH_VOL_RISK_OFF,0.45,0.75,normal,1.65,25.780000686645508,113.52999877929688,0.0,0.0
heuristic_policy,2026-04-09,2026-04-10,676.010009765625,679.9099731445312,1,2,680.0,1.7002151866248596,0.0,1.7002151866248596,219.37294006347656,221.07315525010142,expiration,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.35,19.489999771118164,111.06999969482422,0.0,0.0
heuristic_policy,2026-04-13,2026-04-14,679.4600219726562,686.0999755859375,1,2,684.0,1.4940638561950266,4.321202509884813,-2.8271386536897865,373.4973907470703,370.67025209338055,underlying_touch,MID_VOL_CHOP,0.45,0.75,normal,1.35,19.1200008392334,107.30000305175781,0.0,0.0
heuristic_policy,2026-04-15,2026-04-16,694.4600219726562,699.9400024414062,1,2,698.0,1.7177988703389246,4.215855095022391,-2.4980562246834666,308.2489013671875,305.75084514250403,underlying_touch,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.35,18.170000076293945,95.4000015258789,0.0,0.0
heuristic_policy,2026-04-17,2026-04-20,701.6599731445312,710.1400146484375,1,4,706.0,1.3943289063396662,5.826005864330057,-4.4316769579903905,477.00233459472656,472.5706576367362,underlying_touch,MID_VOL_CHOP,0.45,0.75,normal,1.35,17.479999542236328,96.80000305175781,0.0,0.0
heuristic_policy,2026-04-21,2026-04-22,708.719970703125,704.0800170898438,1,2,713.0,1.7538385205457985,0.0,1.7538385205457985,-260.9973907470703,-259.2435522265245,expiration,MID_VOL_CHOP,0.45,0.75,normal,1.35,19.5,98.1500015258789,0.0,0.0
heuristic_policy,2026-04-23,2026-04-24,711.2100219726562,708.4500122070312,1,2,716.0,1.5822177265321784,0.0,1.5822177265321784,-155.25054931640625,-153.66833158987407,expiration,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.35,19.309999465942383,98.7300033569336,0.0,0.0
heuristic_policy,2026-04-27,2026-04-28,713.9400024414062,715.1699829101562,1,2,718.0,1.608676310070848,0.0,1.608676310070848,69.1864013671875,70.79507767725835,expiration,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.35,18.020000457763672,97.18000030517578,0.0,0.0
heuristic_policy,2026-04-29,2026-04-30,711.6900024414062,711.5800170898438,1,2,716.0,1.6482513986655931,0.0,1.6482513986655931,-6.186676025390625,-4.538424626725032,expiration,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.35,18.809999465942383,91.02999877929688,0.0,0.0
heuristic_policy,2026-05-04,2026-05-05,720.6500244140625,718.010009765625,1,2,725.0,1.59061229792826,0.0,1.59061229792826,-198.0010986328125,-196.41048633488424,expiration,MID_VOL_CHOP,0.45,0.75,normal,1.35,18.290000915527344,95.16999816894531,0.0,0.0
heuristic_policy,2026-05-06,2026-05-07,723.77001953125,733.8300170898438,1,2,728.0,1.4958557918681379,6.877045265100037,-5.381189473231899,565.8748626708984,560.4936731976666,underlying_touch,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.35,17.389999389648438,95.26000213623047,0.0,0.0
heuristic_policy,2026-05-08,2026-05-11,731.5800170898438,737.6199951171875,1,4,736.0,1.4381355876991222,4.274539577569897,-2.8364039898707745,339.74876403808594,336.9123600482152,underlying_touch,MID_VOL_CHOP,0.45,0.75,normal,1.35,17.190000534057617,93.61000061035156,0.0,0.0
heuristic_policy,2026-05-12,2026-05-13,739.2999877929688,738.1799926757812,1,2,743.0,1.8207269669409527,0.0,1.8207269669409527,-62.999725341796875,-61.17899837485592,expiration,MID_VOL_CHOP,0.45,0.75,normal,1.35,17.989999771118164,98.05999755859375,0.0,0.0
heuristic_policy,2026-05-14,2026-05-15,742.3099975585938,748.1699829101562,1,2,746.0,1.7128169441126317,4.652932684241762,-2.94011574012913,329.6241760253906,326.68406028526147,underlying_touch,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.35,17.260000228881836,98.36000061035156,0.0,0.0
heuristic_policy,2026-05-18,2026-05-19,739.1699829101562,738.6500244140625,1,2,743.0,1.7494468296418404,0.0,1.7494468296418404,-29.247665405273438,-27.498218575631597,expiration,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.35,17.81999969482422,92.94000244140625,0.0,0.0
heuristic_policy,2026-05-20,2026-05-21,733.72998046875,741.25,1,2,738.0,1.529856249214106,5.006233857249242,-3.4763776080351363,423.0010986328125,419.52472102477736,underlying_touch,STABLE_LOW_VOL_TREND,0.45,0.75,normal,1.35,17.440000534057617,94.61000061035156,0.0,0.0
