model_name,date,spy_close,vix,leap_open,leap_premium_estimate,leap_delta,leap_exposure_pct,leap_daily_pnl,leap_cumulative_pnl,short_call_open,short_call_strike,short_call_entry_premium,short_call_mtm_value,short_call_daily_pnl,short_call_cumulative_pnl,total_daily_pnl,total_cumulative_pnl,overwrite_daily_pnl,avoided_leap_drawdown_estimate,missed_leap_upside_estimate
heuristic_policy,2025-03-21,574.72,24.8700008392334,True,96.37,0.75,0.75,343.76,12810.82,True,579.0,1.86,1.86,-308.72,-909.49,35.04,11901.33,-308.72,0.0,152.78
heuristic_policy,2025-03-24,564.52,23.3700008392334,True,90.63,0.75,0.75,-573.86,12236.96,True,569.0,1.56,1.56,171.67,-737.82,-402.19,11499.14,171.67,255.05,0.0
heuristic_policy,2025-03-25,567.68,27.860000610351562,True,92.41,0.75,0.75,177.98,12414.94,True,573.0,1.89,1.89,-179.87,-917.69,-1.89,11497.25,-179.87,0.0,79.1
heuristic_policy,2025-03-26,552.56,26.920000076293945,True,83.91,0.75,0.75,-850.53,11564.4,True,557.0,1.94,1.94,183.08,-734.61,-667.45,10829.79,183.08,378.01,0.0
heuristic_policy,2025-03-27,547.97,24.229999542236328,True,81.32,0.75,0.75,-258.38,11306.02,True,552.0,1.71,1.71,133.21,-601.4,-125.18,10704.62,133.21,114.84,0.0
heuristic_policy,2025-03-28,550.88,24.65999984741211,True,82.96,0.75,0.75,163.57,11469.59,True,555.0,1.75,1.75,-117.31,-718.72,46.25,10750.87,-117.31,0.0,72.7
heuristic_policy,2025-03-31,543.54,21.770000457763672,False,78.83,0.75,0.0,-413.07,11056.52,False,,,,154.32,-564.39,-258.74,10492.13,154.32,734.34,0.0
heuristic_policy,2025-04-01,554.76,20.510000228881836,True,108.42,0.75,1.0,842.03,11898.55,True,558.0,1.54,1.54,0.0,-564.39,842.03,11334.16,0.0,0.0,0.0
heuristic_policy,2025-04-02,559.04,21.700000762939453,True,110.83,0.75,0.75,240.63,12139.19,True,563.0,1.48,1.48,-205.92,-770.32,34.71,11368.87,-205.92,0.0,106.95
heuristic_policy,2025-04-03,553.0,19.899999618530273,True,107.43,0.75,0.75,-339.88,11799.3,True,556.0,1.53,1.53,123.86,-646.46,-216.02,11152.85,123.86,151.06,0.0
heuristic_policy,2025-04-04,559.02,19.799999237060547,True,110.82,0.75,0.75,338.77,12138.08,True,563.0,1.24,1.24,-301.54,-948.0,37.23,11190.08,-301.54,0.0,150.57
heuristic_policy,2025-04-07,557.4,19.280000686645508,True,109.91,0.75,0.75,-90.93,12047.15,True,561.0,1.28,1.28,45.55,-902.45,-45.38,11144.7,45.55,40.41,0.0
heuristic_policy,2025-04-08,557.59,17.479999542236328,True,110.01,0.75,0.75,10.34,12057.49,True,561.0,1.12,1.12,16.41,-886.04,26.75,11171.45,16.41,0.0,4.6
heuristic_policy,2025-04-09,567.57,17.149999618530273,True,115.63,0.75,0.75,561.69,12619.18,True,571.0,1.11,1.11,-589.16,-1475.2,-27.47,11143.98,-589.16,0.0,249.64
heuristic_policy,2025-04-10,568.94,18.329999923706055,True,116.39,0.75,0.75,76.74,12695.92,True,572.0,1.38,1.38,-61.07,-1536.27,15.67,11159.65,-61.07,0.0,34.11
heuristic_policy,2025-04-11,562.15,18.690000534057617,True,112.57,0.75,0.75,-382.05,12313.87,True,565.0,1.46,1.46,116.91,-1419.36,-265.14,10894.51,116.91,169.8,0.0
heuristic_policy,2025-04-14,560.65,21.649999618530273,True,111.73,0.75,0.75,-83.97,12229.89,True,564.0,1.67,1.67,9.41,-1409.95,-74.56,10819.95,9.41,37.32,0.0
heuristic_policy,2025-04-15,549.36,22.280000686645508,True,105.38,0.75,0.75,-635.1,11594.8,True,553.0,1.6,1.6,158.04,-1251.91,-477.06,10342.89,158.04,282.27,0.0
heuristic_policy,2025-04-16,553.05,21.770000457763672,True,107.46,0.75,0.75,207.44,11802.23,True,557.0,1.46,1.46,-144.83,-1396.74,62.6,10405.49,-144.83,0.0,92.19
heuristic_policy,2025-04-17,554.61,21.510000228881836,True,108.34,0.75,0.75,87.87,11890.1,True,558.0,1.61,1.61,-49.88,-1446.62,37.98,10443.47,-49.88,0.0,39.05
heuristic_policy,2025-04-18,558.12,30.020000457763672,True,110.31,0.75,0.75,197.42,12087.52,True,563.0,2.23,2.23,-265.94,-1712.57,-68.52,10374.96,-265.94,0.0,87.74
