as_of_date,comparison_model,comparison_state,hmm_v3_state,disagreement_type,is_opposite_bucket,severity_delta,vix,vvix,vvix_vix_ratio,vvix_vix_z_22d,vix_vix3m_ratio,vix9d_vix_ratio,term_structure_slope,realized_vol_5d,realized_vol_21d,realized_vol_trend,spy_return_1d,drawdown_21d,trend_persistence_21d,avg_pairwise_corr_21d,first_eigenvalue_share_21d,effective_rank_21d,log_det_corr_21d,warning,realized_state_1d,realized_risk_bucket_1d,vix_change_pct_1d,vvix_change_pct_1d,rv21_change_1d,vix_spike_1d,rv_expanded_1d,risk_bucket_correct_hmm_v3_1d,risk_bucket_correct_comparison_1d,exact_correct_hmm_v3_1d,exact_correct_comparison_1d,directional_vol_correct_hmm_v3_1d,directional_vol_correct_comparison_1d,v3_won_1d,v3_bucket_won_1d,realized_state_2d,realized_risk_bucket_2d,spy_return_2d,vix_change_pct_2d,vvix_change_pct_2d,rv21_change_2d,vix_spike_2d,rv_expanded_2d,risk_bucket_correct_hmm_v3_2d,risk_bucket_correct_comparison_2d,exact_correct_hmm_v3_2d,exact_correct_comparison_2d,directional_vol_correct_hmm_v3_2d,directional_vol_correct_comparison_2d,v3_won_2d,v3_bucket_won_2d,realized_state_3d,realized_risk_bucket_3d,spy_return_3d,vix_change_pct_3d,vvix_change_pct_3d,rv21_change_3d,vix_spike_3d,rv_expanded_3d,risk_bucket_correct_hmm_v3_3d,risk_bucket_correct_comparison_3d,exact_correct_hmm_v3_3d,exact_correct_comparison_3d,directional_vol_correct_hmm_v3_3d,directional_vol_correct_comparison_3d,v3_won_3d,v3_bucket_won_3d,v3_result,win_horizon,why
2026-04-13,heuristic,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,v3_downgrade,True,-1,19.23,107.3,5.579823192927717,2.3211183695970843,0.8796889295516926,0.8559542381695268,2.629999999999999,14.760012855218196,19.42723683504606,-4.667223979827863,0.008506574597811012,0.0,0.6190476190476191,0.255157,0.511213,4.788577,-9.321521,,STABLE_LOW_VOL_TREND,LOW_RISK,-0.00572022880915235,-0.04352283317800565,-0.036884323006400876,False,False,True,False,False,False,1.0,0.6666666666666666,true,true,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.020495114963637873,-0.045241809672387,-0.11090400745573148,0.13001519724812027,False,True,False,True,False,True,1.0,0.3333333333333333,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.02938367736722247,-0.055122204888195414,-0.08993476234855535,0.13157807220637707,False,True,False,True,False,True,1.0,0.3333333333333333,false,false,loss,T+1,risk_bucket
2026-04-13,hmm_v1_core,STABLE_LOW_VOL_TREND,MID_VOL_CHOP,v3_upgrade,False,1,19.23,107.3,5.579823192927717,2.3211183695970843,0.8796889295516926,0.8559542381695268,2.629999999999999,14.760012855218196,19.42723683504606,-4.667223979827863,0.008506574597811012,0.0,0.6190476190476191,0.255157,0.511213,4.788577,-9.321521,,STABLE_LOW_VOL_TREND,LOW_RISK,-0.00572022880915235,-0.04352283317800565,-0.036884323006400876,False,False,True,True,False,True,1.0,1.0,false,tie,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.020495114963637873,-0.045241809672387,-0.11090400745573148,0.13001519724812027,False,True,False,False,False,False,1.0,1.0,true,tie,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.02938367736722247,-0.055122204888195414,-0.08993476234855535,0.13157807220637707,False,True,False,False,False,False,1.0,1.0,true,tie,win,T+2,severity_distance
2026-04-15,heuristic,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,v3_downgrade,True,-1,18.36,95.4,5.196078431372549,0.9838814614724788,0.8818443804034581,0.9139433551198258,2.460000000000001,6.916574037742127,19.55725203229418,-12.640677994552053,0.008710048949035265,0.0,0.7142857142857143,0.234408,0.496274,4.965376,-8.698927,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.010348583877995532,0.02358490566037741,0.0015628749582567991,False,True,False,True,False,True,0.6666666666666666,0.6666666666666666,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.010970342643247921,-0.02287581699346397,0.01467505241090139,0.0015337167458682188,False,True,False,True,False,True,0.6666666666666666,0.6666666666666666,false,false,STABLE_LOW_VOL_TREND,LOW_RISK,0.023250791822631678,-0.04793028322440085,-0.002830188679245338,-0.6470058705378818,False,False,True,False,False,False,1.0,0.3333333333333333,true,true,loss,T+3,risk_bucket
2026-04-16,heuristic,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,v3_downgrade,True,-1,18.17,97.65,5.374243258117776,1.3474115146662795,0.8743984600577479,0.8712162905888827,2.6099999999999994,5.699990684067041,19.558814907252437,-13.858824223185396,0.0022407764218941306,0.0,0.7142857142857143,0.230664,0.49133,5.017058,-8.392539,,MID_VOL_CHOP,LOW_RISK,-0.012658227848101333,-0.008704557091653964,-2.9158212388580296e-05,False,False,True,False,True,False,1.0,0.6666666666666666,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.014415185898808192,-0.03797468354430389,-0.02580645161290329,-0.6485687454961386,False,False,True,False,False,False,1.0,0.0,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.012616855776778735,0.038525041276829874,0.005120327700972815,-0.5915546322607845,False,False,True,False,False,False,0.6666666666666666,0.6666666666666666,true,true,win,T+1,risk_bucket
2026-04-17,heuristic,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,v3_downgrade,True,-1,17.94,96.8,5.395763656633221,1.297033519646183,0.863745787193067,0.862876254180602,2.8299999999999983,6.876322973436527,19.558785749040048,-12.682462775603522,0.012147190339209857,0.0,0.7142857142857143,0.162258,0.483222,5.14737,-8.16167,,STABLE_LOW_VOL_TREND,LOW_RISK,-0.02564102564102566,-0.017252066115702513,-0.64853958728375,False,False,True,False,False,False,1.0,0.0,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.01035288086354691,0.05183946488294322,0.013946280991735671,-0.591525474048396,False,False,True,False,False,False,0.3333333333333333,0.6666666666666666,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.006806983566403746,0.08695652173913038,0.05258264462809925,-1.2299764484769682,False,False,True,False,False,False,0.3333333333333333,0.6666666666666666,true,true,win,T+1,risk_bucket
2026-04-20,heuristic,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,v3_downgrade,True,-2,17.48,95.13,5.442219679633867,1.2999141624457013,0.8522671867381765,0.8501144164759725,3.030000000000001,6.294927429461442,18.910246161756298,-12.615318732294856,-0.0017727752374252503,0.0,0.7619047619047619,0.17345,0.491072,5.017255,-8.636281,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.07951945080091538,0.031746031746031855,0.0570141132353541,False,True,False,True,False,True,0.3333333333333333,1.0,false,false,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,-0.0052761167780513984,0.11556064073226535,0.0710606538421108,-0.5814368611932181,True,False,False,True,False,True,0.3333333333333333,0.6666666666666666,false,false,MID_VOL_CHOP,LOW_RISK,-0.00045022863172716754,0.08237986270022901,0.03784295175023655,-0.5855808940288227,False,False,True,False,False,False,0.3333333333333333,0.6666666666666666,tie,true,loss,T+3,risk_bucket
2026-04-21,heuristic,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,v3_downgrade,True,-1,18.87,98.15,5.201377848436672,0.6846121760369872,0.8884180790960453,0.9470058293587705,2.3699999999999974,9.741632512680805,18.967260274991652,-9.225627762310847,-0.0035095632073742777,0.0017727752374252423,0.7142857142857143,0.13684,0.492683,5.020106,-8.578502,,MID_VOL_CHOP,LOW_RISK,0.03338632750397452,0.03810494141619958,-0.6384509744285722,False,False,True,False,True,False,0.3333333333333333,0.6666666666666666,true,true,MID_VOL_CHOP,LOW_RISK,0.0013248953473621317,0.00264970853206159,0.005909322465613931,-0.6425950072641768,False,False,True,False,True,False,1.0,0.6666666666666666,true,true,MID_VOL_CHOP,LOW_RISK,7.04731567744421e-05,0.02331743508214079,0.004279164544065184,-0.5798302233151276,False,False,True,False,True,False,0.6666666666666666,0.6666666666666666,true,true,win,T+1,risk_bucket
2026-04-21,hmm_v1_core,STABLE_LOW_VOL_TREND,MID_VOL_CHOP,v3_upgrade,False,1,18.87,98.15,5.201377848436672,0.6846121760369872,0.8884180790960453,0.9470058293587705,2.3699999999999974,9.741632512680805,18.967260274991652,-9.225627762310847,-0.0035095632073742777,0.0017727752374252423,0.7142857142857143,0.13684,0.492683,5.020106,-8.578502,,MID_VOL_CHOP,LOW_RISK,0.03338632750397452,0.03810494141619958,-0.6384509744285722,False,False,True,True,True,False,0.3333333333333333,0.3333333333333333,true,tie,MID_VOL_CHOP,LOW_RISK,0.0013248953473621317,0.00264970853206159,0.005909322465613931,-0.6425950072641768,False,False,True,True,True,False,1.0,1.0,true,tie,MID_VOL_CHOP,LOW_RISK,7.04731567744421e-05,0.02331743508214079,0.004279164544065184,-0.5798302233151276,False,False,True,True,True,False,0.6666666666666666,0.6666666666666666,true,tie,win,T+1,severity_distance
2026-04-22,heuristic,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,v3_downgrade,True,-1,19.5,101.89,5.225128205128205,0.6986765234764485,0.906555090655509,1.0364102564102564,2.0100000000000016,10.616068098686785,18.32880930056308,-7.712741201876295,0.004851485148514856,0.005276116778051354,0.7142857142857143,0.162757,0.504913,4.871509,-8.673537,,STABLE_LOW_VOL_TREND,LOW_RISK,-0.029743589743589705,-0.0310138384532338,-0.004144032835604605,False,False,True,False,False,False,1.0,0.3333333333333333,true,true,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.0035926449787835324,-0.009743589743589798,-0.03258415938757486,0.05862075111344467,False,True,False,True,False,True,1.0,0.6666666666666666,false,false,STABLE_LOW_VOL_TREND,LOW_RISK,0.009915134370579892,-0.04051282051282046,-0.046226322504661854,-0.09503304765205556,False,False,True,False,False,False,1.0,0.3333333333333333,true,true,win,T+1,risk_bucket
2026-04-23,heuristic,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,v3_downgrade,True,-1,18.92,98.73,5.218287526427061,0.6255208346877821,0.8907721280602638,0.8995771670190273,2.3199999999999967,9.762909112163985,18.324665267727475,-8.56175615556349,-0.001252762411497188,0.0004502286317271193,0.7142857142857143,0.159283,0.513305,4.758012,-8.849616,,VOL_EXPANSION_TRANSITION,HIGHER_VOL_RISK,0.020613107822409882,-0.0016205813835714622,0.06276478394904927,False,True,False,True,False,True,0.6666666666666666,1.0,false,false,STABLE_LOW_VOL_TREND,LOW_RISK,0.005039201610292476,-0.011099365750528611,-0.01569938215334743,-0.09088901481645095,False,False,True,False,False,False,1.0,0.3333333333333333,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.008206297594414602,-0.04756871035940813,-0.04932644586245316,-0.993736203931288,False,False,True,False,False,False,1.0,0.0,true,true,win,T+2,risk_bucket
2026-04-24,heuristic,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,v3_downgrade,True,-1,19.31,98.57,5.104609010875194,0.3111695384671876,0.898975791433892,0.9083376488865873,2.1700000000000017,10.188695667547996,18.387430051676525,-8.198734384128528,0.0062998562448910445,0.0017024270137179548,0.6666666666666666,0.16588,0.510533,4.65094,-9.592915,,STABLE_LOW_VOL_TREND,LOW_RISK,-0.03107198342827544,-0.014101653647154211,-0.15365379876550023,False,False,True,False,False,False,1.0,0.3333333333333333,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.009470924824534155,-0.0668047643707923,-0.04778330120726382,-1.0565009878803373,False,False,True,False,False,False,1.0,0.0,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.004129435972602069,-0.07664422578974628,-0.0764938622298873,-3.81501598614142,False,False,True,False,False,False,1.0,0.0,true,true,win,T+1,risk_bucket
2026-04-27,heuristic,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,v3_downgrade,True,-2,18.71,97.18,5.194013896312133,0.4692522439278807,0.8784037558685446,0.8856226616782469,2.59,6.908355362338216,18.233776252911024,-11.325420890572808,0.00315121636951865,0.0,0.7142857142857143,0.164283,0.505525,4.704206,-9.11621,,MID_VOL_CHOP,LOW_RISK,-0.036878674505612,-0.03416340810866436,-0.9028471891148371,False,False,True,False,False,False,1.0,0.0,tie,true,MID_VOL_CHOP,LOW_RISK,-0.002156832537359321,-0.04703367183324436,-0.06328462646635113,-3.6613621873759197,False,False,True,False,False,False,1.0,0.0,tie,true,MID_VOL_CHOP,LOW_RISK,-0.0004201621826024349,0.005344735435595771,-0.01193661247170208,-3.990437185250981,False,False,True,False,False,False,1.0,0.3333333333333333,tie,true,tie,T+1,risk_bucket
2026-04-28,heuristic,VOL_EXPANSION_TRANSITION,MID_VOL_CHOP,v3_downgrade,True,-1,18.02,93.86,5.20865704772475,0.45331263107097297,0.8675974963890226,0.94173140954495,2.75,6.576704309137013,17.330929063796187,-10.754224754659173,-0.0052913746404936735,0.0,0.7619047619047619,0.151291,0.446039,5.371148,-7.438824,,STABLE_LOW_VOL_TREND,LOW_RISK,-0.010543840177580588,-0.03015128915405918,-2.7585149982610826,False,False,True,False,False,False,1.0,0.0,true,true,MID_VOL_CHOP,LOW_RISK,-0.0035601597185378475,0.04384017758046621,0.023012998082250213,-3.0875899961361437,False,False,True,False,True,False,0.3333333333333333,0.6666666666666666,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.00504006924859679,-0.06270810210876798,-0.0017046665246110981,-7.249879992009522,False,False,True,False,False,False,1.0,0.3333333333333333,true,true,win,T+1,risk_bucket
2026-04-29,heuristic,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,v3_downgrade,True,-2,17.83,91.03,5.105440269209199,0.13982724868484675,0.8701805758906783,0.93157599551318,2.66,7.5550267483092775,14.572414065535105,-7.017387317225827,0.0017404241582101854,0.005291374640493625,0.7619047619047619,0.16125,0.472426,5.048472,-8.068333,,MID_VOL_CHOP,LOW_RISK,0.054963544587773416,0.054817093265956185,-0.3290749978750611,False,False,True,False,False,False,0.3333333333333333,0.6666666666666666,tie,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.010386402234479952,-0.0527201346045989,0.029330989783587835,-4.491364993748439,False,False,True,False,True,False,0.6666666666666666,0.3333333333333333,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.010568866057518278,-0.047111609646662944,0.045479512248709275,-4.373776632644194,False,False,True,False,True,False,0.6666666666666666,0.3333333333333333,true,true,win,T+1,risk_bucket
2026-04-29,hmm_v2_core_plus_sector_corr,MID_VOL_CHOP,STABLE_LOW_VOL_TREND,v3_downgrade,False,-1,17.83,91.03,5.105440269209199,0.13982724868484675,0.8701805758906783,0.93157599551318,2.66,7.5550267483092775,14.572414065535105,-7.017387317225827,0.0017404241582101854,0.005291374640493625,0.7619047619047619,0.16125,0.472426,5.048472,-8.068333,,MID_VOL_CHOP,LOW_RISK,0.054963544587773416,0.054817093265956185,-0.3290749978750611,False,False,True,True,False,True,0.3333333333333333,0.3333333333333333,false,tie,STABLE_LOW_VOL_TREND,LOW_RISK,0.010386402234479952,-0.0527201346045989,0.029330989783587835,-4.491364993748439,False,False,True,True,True,False,0.6666666666666666,0.6666666666666666,true,tie,STABLE_LOW_VOL_TREND,LOW_RISK,0.010568866057518278,-0.047111609646662944,0.045479512248709275,-4.373776632644194,False,False,True,True,True,False,0.6666666666666666,0.6666666666666666,true,tie,win,T+2,severity_distance
2026-04-30,heuristic,VOL_EXPANSION_TRANSITION,STABLE_LOW_VOL_TREND,v3_downgrade,True,-2,18.81,96.02,5.104731525784158,0.047864324547941636,0.8876828692779611,0.9138755980861245,2.3800000000000026,7.002694935791465,14.243339067660044,-7.240644131868579,0.008630956550980118,0.003560159718537898,0.8095238095238095,0.140556,0.425233,5.40098,-7.535844,,STABLE_LOW_VOL_TREND,LOW_RISK,-0.10207336523125987,-0.024161632993126347,-4.162289995873378,False,False,True,False,True,False,1.0,0.0,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.008813103361309249,-0.09675704412546515,-0.00885232243282641,-4.044701634769133,False,False,True,False,True,False,1.0,0.3333333333333333,true,true,STABLE_LOW_VOL_TREND,LOW_RISK,0.005674573706407227,-0.027644869750132917,0.023640908144136663,-3.742045537331773,False,False,True,False,True,False,0.6666666666666666,0.3333333333333333,true,true,win,T+1,risk_bucket
